year,team,week,opp,pts
2023,bal,1,hou,17
2023,bal,2,cin,4
2023,bal,3,ind,9.5
2023,bal,4,cle,20
2023,bal,5,pit,9
2023,bal,6,ten,13
2023,bal,7,det,22
2023,bal,8,az,9.5
2023,bal,9,sea,19
2023,bal,10,cle,15.5
2023,bal,11,cin,9
2023,bal,12,lac,20
2023,bal,13,bye,0
2023,bal,14,lar,6
2023,bal,15,jax,13
2023,bal,16,sf,20
2023,bal,17,mia,14.5
2023,bal,18,pit,12
2023,dal,1,nyg,45
2023,dal,2,nyj,18
2023,dal,3,az,0
2023,dal,4,ne,32
2023,dal,5,sf,0
2023,dal,6,lac,8
2023,dal,7,bye,0
2023,dal,8,lar,19
2023,dal,9,phi,2
2023,dal,10,nyg,12
2023,dal,11,car,24
2023,dal,12,was,22
2023,dal,13,sea,2
2023,dal,14,phi,15
2023,dal,15,buf,-0.5
2023,dal,16,mia,3
2023,dal,17,det,10
2023,dal,18,was,20
2023,mia,1,lac,2
2023,mia,2,ne,13
2023,mia,3,den,12
2023,mia,4,buf,-2
2023,mia,5,nyg,15.5
2023,mia,6,car,12.5
2023,mia,7,phi,11
2023,mia,8,ne,10
2023,mia,9,kc,8
2023,mia,10,bye,0
2023,mia,11,lv,17
2023,mia,12,nyj,25.5
2023,mia,13,was,15.5
2023,mia,14,ten,10
2023,mia,15,nyj,31
2023,mia,16,dal,9.5
2023,mia,17,bal,-1
2023,mia,18,buf,12
2023,buf,1,nyj,6.5
2023,buf,2,lv,13
2023,buf,3,was,36
2023,buf,4,mia,15.5
2023,buf,5,jax,10.5
2023,buf,6,nyg,11
2023,buf,7,ne,1
2023,buf,8,tb,9
2023,buf,9,cin,3
2023,buf,10,den,7
2023,buf,11,nyj,25
2023,buf,12,phi,1.5
2023,buf,13,bye,0
2023,buf,14,kc,10
2023,buf,15,dal,13
2023,buf,16,lac,6
2023,buf,17,ne,18
2023,buf,18,mia,15
2023,kc,1,det,9
2023,kc,2,jax,15
2023,kc,3,chi,15
2023,kc,4,nyj,8
2023,kc,5,min,10
2023,kc,6,den,18
2023,kc,7,lac,13
2023,kc,8,den,12.5
2023,kc,9,mia,16.5
2023,kc,10,bye,0
2023,kc,11,phi,8.5
2023,kc,12,lv,7
2023,kc,13,gb,3
2023,kc,14,buf,9
2023,kc,15,ne,11.5
2023,kc,16,lv,9
2023,kc,17,cin,12
2023,kc,18,lac,19.5
2023,cle,1,cin,13
2023,cle,2,pit,10
2023,cle,3,ten,15.5
2023,cle,4,bal,2.5
2023,cle,5,bye,0
2023,cle,6,sf,9
2023,cle,7,ind,17
2023,cle,8,sea,6.5
2023,cle,9,az,29
2023,cle,10,bal,16
2023,cle,11,pit,10
2023,cle,12,den,5
2023,cle,13,lar,-2
2023,cle,14,jax,14
2023,cle,15,chi,17.5
2023,cle,16,hou,10.5
2023,cle,17,nyj,19
2023,cle,18,cin,3.5
2023,no,1,ten,13
2023,no,2,car,10
2023,no,3,gb,15
2023,no,4,tb,4
2023,no,5,ne,30.5
2023,no,6,hou,8
2023,no,7,jax,5
2023,no,8,ind,5
2023,no,9,chi,16
2023,no,10,min,2
2023,no,11,bye,0
2023,no,12,atl,9
2023,no,13,det,-1
2023,no,14,car,29.5
2023,no,15,nyg,19
2023,no,16,lar,-1
2023,no,17,tb,17
2023,no,18,atl,11.5
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,lv,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,